casenew,weighta,P550tpr,P344pr,P425r,A172,A093r,A094r,A121r,SexHRP,A049r,G018r,G019r,Gorx,weightar
11834,7.22615885,557.0365558,1184.99,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,4 person,4 and more adults,No children,South East,1.384825674
11834,5.111173828,1072.133111,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,4 person,2 adults,Two or more children,South East,0.979508601
11832,10.41087988,380.0907619,926.68,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,2 person,2 adults,No children,Wales,1.995147636
11831,3.050686277,939.5728768,331.0025,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.584635457
11829,3.674908942,512.8389561,838.5125,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,4 person,2 adults,Two or more children,East Midlands,0.704261885
11829,4.379818841,633.4371059,928.76,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,2 adults,One child,North East,0.839351266
11828,3.175177485,321.928402,566.44,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Female,2 person,2 adults,No children,Wales,0.608493031
11821,6.004822144,309.225,132.755,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,East Midlands,1.150767932
11821,6.399211444,84.535,153.872,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Yorkshire and the Humber,1.226348948
11815,4.846606794,780.106013,346.565,Other income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,Yorkshire and the Humber,0.928806806
11815,6.200036958,349.7091881,785.65,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,1 person,1 adult,No children,Yorkshire and the Humber,1.188179023
11815,5.048349546,931.1468491,310.85,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South East,0.967468915
11812,3.272270444,1175,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Scotland,0.627099987
11811,5.034731307,534.0067029,908.5025,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,3 person,2 adults,One child,London,0.964859107
11810,5.922274454,902.7956529,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,Wales,1.13494844
11809,5.564239094,298.735,317.642,Earned income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,2 person,2 adults,No children,Eastern,1.066334316
11793,3.812738641,100.1,165.132,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,South West,0.730675656
11788,4.580545925,474.71,347.2174487,Earned income,Yes,Part-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,South West,0.877818732
11785,7.070439449,461.8464381,682.42,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,4 and more adults,No children,Wales,1.354983509
11778,4.146274029,491.429514,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,South West,0.79459459
11778,5.264069288,256.5602485,217.31,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,London,1.008809584
11777,7.128143845,277.1662657,404.68,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,Yorkshire and the Humber,1.366042016
11770,4.044080978,264.8441748,322.884,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Eastern,0.775010249
11767,4.611828233,269.23,123.512,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,North West and Merseyside,0.883813693
11765,4.779484581,748.3014212,1026.592,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Eastern,0.915943462
11758,5.053123732,290.6104677,447.17,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,1 person,1 adult,No children,North West and Merseyside,0.968383843
11756,7.215399407,605.325,562.11,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,2 person,2 adults,No children,Northern Ireland,1.382763728
11755,4.476854178,1175,940.0758974,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,North West and Merseyside,0.85794718
11753,6.467588993,430.9289678,923.49,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,2 adults,One child,London,1.239452865
11750,6.934136663,472.808372,556.085,Earned income,No,Full-time working,Routine and manual occupations,Private rented,Male,2 person,2 adults,No children,Wales,1.328862357
11748,4.566189554,372.7680726,710.9425,Earned income,No,Full-time working,Routine and manual occupations,Public rented,Male,2 person,2 adults,No children,Eastern,0.875067468
11746,4.33467134,249.9203775,331.25,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Female,1 person,1 adult,No children,Yorkshire and the Humber,0.83069917
11745,3.525510719,498.375,474.69,Other income,Yes,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Owned,Female,3 person,1 adult,Two or more children,East Midlands,0.675631115
11742,4.881829903,836.4187159,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,South East,0.935556985
11736,4.48246032,516.0850703,370.92,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,3 person,2 adults,One child,East Midlands,0.859021544
11733,6.109952208,237.6573307,742.824,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South West,1.170915124
11732,5.204860384,453.5394792,626.2875,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,4 person,2 adults,Two or more children,London,0.997462752
11732,7.143581367,515.8588611,983.02,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Female,2 person,2 adults,No children,London,1.369000473
11732,4.010498333,965.4978129,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.768574449
11731,7.492993788,500.1991164,771.42,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Public rented,Male,5 person or more,2 adults,Two or more children,London,1.435962091
11726,4.489814399,157.05,416.292,Other income,Yes,Economically inactive,Not classified for other reasons,Private rented,Female,3 person,1 adult,Two or more children,West Midlands,0.860430885
11718,4.624030396,198.001859,158.52,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Yorkshire and the Humber,0.886152124
11714,6.537855994,325.0744856,268.54,Other income,Yes,Part-time working,Routine and manual occupations,Public rented,Female,3 person,2 adults,One child,London,1.252918877
11712,4.708537879,425.6518119,443.27,Earned income,Yes,Part-time working,Intermediate occupations,Private rented,Female,2 person,1 adult,One child,London,0.902347191
11711,3.809001647,536.3374614,877.42,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.729959496
11710,3.412025199,281.9645089,456.83,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,2 person,1 adult,One child,Wales,0.653882677
11710,8.12432077,398.6748897,784.7312821,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Female,3 person,3 adults,No children,Scotland,1.556949995
11709,4.345302067,333.2706385,257.8625,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.832736449
11708,5.24105898,330.8175642,304.1007692,Other income,Yes,Part-time working,Routine and manual occupations,Private rented,Female,2 person,1 adult,One child,Eastern,1.004399873
11705,4.07492035,514.1887368,596.01,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,South East,0.780920325
11703,7.169899087,359.8841008,445.35,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,1 person,1 adult,No children,Scotland,1.374044017
11703,4.2692418,390.1822139,420.07,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Male,3 person,2 adults,One child,North West and Merseyside,0.818160212
11701,5.258492922,541.2853733,1117.19,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,2 adults,Two or more children,South West,1.007740925
11699,5.011800901,1175,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,3 adults,No children,Eastern,0.96046471
11697,6.792170759,386.2694143,611.93,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Female,2 person,2 adults,No children,North West and Merseyside,1.301655921
11688,4.31741798,182.8183132,194.522,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Scotland,0.827392725
11688,7.512097173,400.7620858,718.01,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,1 person,1 adult,No children,London,1.439623076
11685,5.059051415,364.0712307,932.18,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,3 adults,One child,Yorkshire and the Humber,0.969519828
11684,5.829711514,230.7147909,403,Earned income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,Wales,1.117209619
11680,6.859427681,990.8330959,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,South West,1.31454508
11676,3.367064623,204.7201872,342.224,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.645266404
11675,6.438022459,486.4067296,580.11,Earned income,No,Full-time working,"Higher managerial, administrative and professional occupations",Public rented,Female,2 person,2 adults,No children,North East,1.233786715
11674,4.635250483,151.798384,456.2125,Earned income,No,Full-time working,Routine and manual occupations,Owned,Male,1 person,1 adult,No children,South East,0.888302348
11671,5.795869363,164.7839501,306.06,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,1 person,1 adult,No children,Wales,1.110724088
11668,7.097258088,451.0746881,1018.32,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,South West,1.36012305
11666,4.784536714,183.225,358.582,Other income,No,Economically inactive,Not classified for other reasons,Private rented,Female,1 person,1 adult,No children,Eastern,0.916911656
11665,3.148447672,511.4269223,715.934,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,East Midlands,0.603370513
11657,4.186204774,600.587347,859.274,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,4 person,4 and more adults,No children,North West and Merseyside,0.802246943
11656,3.730878576,64.88,73.67,Other income,No,Unemployed and work related Government Training Programmes,Routine and manual occupations,Public rented,Female,2 person,1 adult,One child,Eastern,0.714987941
11656,5.223368489,381.5571738,618.49,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,North West and Merseyside,1.001009657
11655,5.759132965,186.0927363,194.457,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Scotland,1.103683901
11651,5.240422995,180.5035004,160,Earned income,Yes,Part-time working,Routine and manual occupations,Public rented,Male,1 person,1 adult,No children,East Midlands,1.004277993
11648,3.9993618,934.6581637,1094.81,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South East,0.766440237
11642,4.629861389,221.315,121,Other income,No,Economically inactive,Routine and manual occupations,Private rented,Female,2 person,2 adults,No children,Eastern,0.887269579
11642,4.486453337,682.4499746,1138.475,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,South East,0.859786769
11641,8.250979935,354.0959036,677.0045,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South West,1.581223038
11636,4.858751076,97.32373362,177.982,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,4 person,2 adults,Two or more children,Scotland,0.931134144
11629,5.195290655,805.2848233,971.6235897,Earned income,Yes,Part-time working,Intermediate occupations,Owned,Female,5 person or more,2 adults,Two or more children,South West,0.995628803
11626,4.08867648,276.2478638,299.26,Earned income,No,Full-time working,"Higher managerial, administrative and professional occupations",Public rented,Female,1 person,1 adult,No children,South East,0.783556559
11625,3.835734631,300.3863343,677.56,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,1 adult,One child,North East,0.735082622
11624,4.886450373,405.7990544,717.34,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,3 person,3 adults,No children,North West and Merseyside,0.936442455
11622,2.27739719,510.4763729,772.19,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,2 adults,One child,North East,0.436441845
11622,5.248088192,1094.513707,1184.99,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Male,3 person,2 adults,One child,Eastern,1.005746956
11619,8.643600813,240.2365463,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,3 adults,No children,Scotland,1.656465153
11611,6.233962482,875.4107085,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,North West and Merseyside,1.194680532
11611,5.700141042,239.5174374,228.06,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Eastern,1.092378652
11610,6.071867172,1175,1006.89,Earned income,Yes,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Owned,Female,5 person or more,4 and more adults,One child,Northern Ireland,1.163616483
11603,4.983004134,190.0730414,439.052,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,Scotland,0.954946079
11601,4.022613557,245.4085193,372.53,Earned income,No,Part-time working,Routine and manual occupations,Public rented,Female,1 person,1 adult,No children,Yorkshire and the Humber,0.770896218
11601,4.532028305,207.6363418,273.6,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.868520784
11594,6.132359706,793.96462,740.517,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Scotland,1.175209311
11594,4.007369322,105.18,201.85,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,North East,0.767974804
11591,4.035293596,189.7314656,254,Other income,Yes,Economically inactive,Routine and manual occupations,Public rented,Female,3 person,1 adult,Two or more children,North West and Merseyside,0.773326229
11588,4.195368669,376.6990307,223.714,Other income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.804003118
11588,8.037502321,657.6737091,623.315,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Female,2 person,2 adults,No children,North West and Merseyside,1.540312052
11567,5.542098357,99.5671263,208.522,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Scotland,1.062091251
11561,4.03864665,479.6124796,859.15,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,5 person or more,2 adults,Two or more children,East Midlands,0.773968811
11558,4.325537866,352.5462528,780.962,Other income,Yes,Part-time working,Intermediate occupations,Owned,Female,2 person,2 adults,No children,North West and Merseyside,0.828948825
11557,4.295998609,112.0194343,259.082,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,South West,0.823287903
11556,7.48202369,1175,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,London,1.433859775
11554,3.760333575,763.5003414,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South East,0.720632716
11552,4.9366214,437.0802021,554.7845,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South West,0.946057262
11547,6.360543275,83.79176693,71.7,Other income,No,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,Male,1 person,1 adult,No children,Eastern,1.218938555
11546,6.321554282,391.8082838,552.5771795,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,2 adults,One child,South East,1.21146668
11544,4.378479701,549.4274275,732.662,Earned income,Yes,Full-time working,Intermediate occupations,Public rented,Male,4 person,2 adults,Two or more children,North West and Merseyside,0.839094632
11543,5.553520593,351.585953,888.3,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,3 adults,One child,East Midlands,1.064280216
11542,5.272654093,1175,1107.7565,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,3 person,3 adults,No children,South East,1.010454781
11542,6.197701218,720.224849,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South East,1.1877314
11541,5.586913005,92.57,72.35,Other income,Yes,Economically inactive,Intermediate occupations,Private rented,Female,1 person,1 adult,No children,West Midlands,1.070679559
11539,4.436193851,518.1297113,810.265,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,2 adults,One child,East Midlands,0.850155009
11538,3.940827049,572.7277911,473.19,Earned income,Yes,Part-time working,Routine and manual occupations,Owned,Male,1 person,1 adult,No children,North West and Merseyside,0.7552226
11537,4.642903996,572.64948,1005.285,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Female,1 person,1 adult,No children,South East,0.889769072
11535,7.24408415,723.2291648,607.195,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,London,1.38826089
11535,6.17959703,277.8680209,682.71,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,1 person,1 adult,No children,North West and Merseyside,1.184261902
11528,9.348462385,1175,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Female,5 person or more,4 and more adults,No children,South East,1.791545272
11522,4.306794106,97.92,149.922,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,North East,0.825356759
11520,6.919393546,310.0531407,391.2645,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,East Midlands,1.326036976
11519,6.642429391,140.2471626,236.927,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South East,1.27295939
11519,7.512097173,411.3447977,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,London,1.439623076
11517,4.767420224,181.6713727,513.392,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,North West and Merseyside,0.913631441
11516,5.334402483,472.9779457,556.3165,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Eastern,1.022288282
11515,4.095305708,150.5078126,226.07,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,West Midlands,0.784826988
11508,6.114910549,338.6213368,532.14,Other income,Yes,Part-time working,Intermediate occupations,Owned,Female,4 person,2 adults,Two or more children,Eastern,1.171865343
11507,3.924841191,150.6560488,275.152,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,South West,0.75215906
11496,5.443670522,267.5757467,453.52,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,Yorkshire and the Humber,1.043228478
11494,6.566000013,1175,1184.99,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,4 and more adults,No children,London,1.258312415
11494,4.513224137,373.0485816,454.12,Earned income,Yes,Part-time working,Intermediate occupations,Owned,Female,3 person,1 adult,Two or more children,South West,0.864917142
11488,5.720801679,506.7911545,598.64,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Female,1 person,1 adult,No children,Yorkshire and the Humber,1.096338069
11481,2.861775005,174.1570303,548.224,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.548432381
11476,5.444033246,124.8411119,100,Earned income,No,Full-time working,Intermediate occupations,Private rented,Male,1 person,1 adult,No children,Yorkshire and the Humber,1.043297991
11475,4.413227425,414.4202862,880.64,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Scotland,0.845753708
11474,5.566388114,260.1431461,184.4695,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South West,1.066746155
11474,5.305949511,522.5451762,351.08,Other income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Private rented,Male,1 person,1 adult,No children,South East,1.016835536
11467,6.68714189,317.6621407,245.77,Other income,Yes,Part-time working,Routine and manual occupations,Private rented,Female,3 person,2 adults,One child,North West and Merseyside,1.281528121
11465,6.640331451,396.245,419.61,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Male,4 person,2 adults,Two or more children,South West,1.272557339
11464,3.624799264,528.8144153,899.724,Other income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South East,0.694658834
11463,6.674406485,421.3610744,590.2,Other income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,5 person or more,2 adults,Two or more children,London,1.2790875
11461,5.030416993,757.4271625,953.11,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,4 person,2 adults,Two or more children,South East,0.964032309
11458,4.095587579,184.927448,145.2,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,East Midlands,0.784881006
11458,3.711398718,266.058434,527.322,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,East Midlands,0.711254809
11456,4.146563573,108.2543131,148.85,Other income,No,Economically inactive,Not classified for other reasons,Private rented,Male,1 person,1 adult,No children,West Midlands,0.794650078
11455,2.959062459,109.81,346,Other income,Yes,Economically inactive,Routine and manual occupations,Public rented,Male,5 person or more,2 adults,Two or more children,West Midlands,0.56707661
11453,8.232164642,364.215,919,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Female,2 person,2 adults,No children,Northern Ireland,1.577617263
11453,5.915541856,707.9349569,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Scotland,1.1336582
11451,4.462581157,403.1165925,642.8076923,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,2 adults,One child,East Midlands,0.855211889
11449,5.536485423,114.9823158,200,Earned income,No,Full-time working,Intermediate occupations,Owned,Male,1 person,1 adult,No children,North East,1.061015585
11446,4.526994838,229.6329545,528.97,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,West Midlands,0.867556168
11445,3.229889732,730.7800555,1005.635,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,East Midlands,0.618978121
11444,3.853331602,415.7043818,382.1,Other income,Yes,Economically inactive,Routine and manual occupations,Private rented,Male,4 person,2 adults,Two or more children,Wales,0.738454917
11442,4.103958559,242.4831479,141.635,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Male,2 person,2 adults,No children,Scotland,0.786485226
11432,3.547597489,862.7453919,1184.99,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.679863837
11430,6.0866704,1136.217417,92.31,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,West Midlands,1.166453383
11419,3.045048715,351.5328116,323.89,Other income,Yes,Unemployed and work related Government Training Programmes,Routine and manual occupations,Private rented,Female,3 person,1 adult,Two or more children,North East,0.583555071
11416,5.725064121,558.04,1073.1775,Other income,Yes,Part-time working,"Never worked and long term unemployed, students and occupation not stated",Private rented,Male,5 person or more,4 and more adults,No children,South East,1.097154926
11412,3.69851762,785.418635,938.53,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,4 person,2 adults,Two or more children,Scotland,0.708786267
11412,7.66405587,284.9927018,433.292,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,London,1.468744537
11410,3.744772532,310.0395448,558.07,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South East,0.717650588
11407,5.358329086,416.7434067,632.5035897,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,South East,1.026873591
11407,4.224347273,811.5364419,1055.7,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,East Midlands,0.809556596
11404,4.211616671,201.4459676,341.804,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,West Midlands,0.807116895
11404,4.147508694,319.4746653,602.73,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,East Midlands,0.794831202
11401,4.989638132,838.0515488,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,2 adults,One child,North West and Merseyside,0.956217422
11400,4.144032551,297.88,474.224,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Male,2 person,2 adults,No children,West Midlands,0.794165032
11399,4.055022871,403.3081861,638.5,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,5 person or more,2 adults,Two or more children,North West and Merseyside,0.77710716
11399,5.708011137,88.72175676,260.772,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,North West and Merseyside,1.093886882
11396,6.610956103,228.018638,502.07,Earned income,Yes,Part-time working,Routine and manual occupations,Public rented,Female,3 person,2 adults,One child,North West and Merseyside,1.266927829
11396,4.266745413,403.7321416,660.66,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,North West and Merseyside,0.817681802
11394,2.92951776,1175,1184.99,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,4 person,4 and more adults,No children,Eastern,0.561414645
11394,3.112498242,381.9504081,456.54,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Female,3 person,1 adult,Two or more children,West Midlands,0.596481141
11393,5.195145315,777.8521798,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South West,0.99560095
11392,5.350416733,1095.471228,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,3 person,2 adults,One child,London,1.025357263
11388,3.981822276,454.865,315.71,Earned income,No,Economically inactive,Not classified for other reasons,Private rented,Female,4 person,2 adults,Two or more children,Northern Ireland,0.763078951
11387,5.566388114,273.4366275,306.3095,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South West,1.066746155
11386,4.857534679,831.6193918,874.86,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,1 adult,Two or more children,Yorkshire and the Humber,0.930901033
11383,4.853528281,1175,822.98,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,4 person,3 adults,One child,Eastern,0.930133244
11379,6.280029094,491.8717347,703.885,Earned income,No,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,3 person,2 adults,One child,Scotland,1.203508766
11372,4.040010041,455.53,679.362,Earned income,Yes,Part-time working,Routine and manual occupations,Private rented,Male,2 person,2 adults,No children,London,0.774230092
11368,4.601838673,231.37,194.15,Other income,Yes,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,Female,2 person,1 adult,One child,North East,0.881899288
11367,4.420261356,485.3950813,805.445,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,2 person,2 adults,No children,East Midlands,0.847101695
